,Time,Throttle,Speed,Steering,Brake,Acc,LocationX,LocationY,Distance
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,44740.49355959892,0.0,0.0,0.0,0.0,0.0024999999287363796,21.630592346191406,21.630592346191406,0.0
2,44740.50921845436,0.0,0.0,0.0,0.0,0.0024999999287363796,21.630592346191406,21.630592346191406,0.0
3,44740.5287168026,0.0,0.0,0.0,0.0,0.005038910761634317,21.630592346191406,21.630592346191406,0.0
4,44740.541145801544,0.0,0.0,0.0,0.0,0.005038910761634317,21.630592346191406,21.630592346191406,0.0
5,44740.55721926689,0.0,0.0,0.0,0.0,0.005038910761634317,21.630592346191406,21.630592346191406,0.0
6,44740.57321572304,0.0,0.0,0.0,0.0,0.005038910761634317,21.630592346191406,21.630592346191406,0.0
7,44740.58917546272,0.0,0.0,0.0,0.0,0.0024999999287363796,21.630592346191406,21.630592346191406,0.0
8,44740.60518527031,0.0,0.0,0.0,0.0,0.0024999999287363796,21.630592346191406,21.630592346191406,0.0
9,44740.62117958069,0.0,0.0,0.0,0.0,0.0024999999287363796,21.630592346191406,21.630592346191406,0.0
10,44740.641585588455,0.0,0.0,0.0,0.0,0.0024999999287363796,21.630592346191406,21.630592346191406,0.0
11,44740.65414953232,0.0,0.0,0.0,0.0,0.010174262460765847,21.630592346191406,21.630592346191406,0.0
12,44740.67016530037,0.0,0.0,0.0,0.0,0.010174262460765847,21.630592346191406,21.630592346191406,0.0
13,44740.686207056046,0.0,0.0,0.0,0.0,0.010174262460765847,21.630592346191406,21.630592346191406,0.0
14,44740.7023537159,0.0,0.0,0.0,0.0,0.0025769409849304855,21.630592346191406,21.630592346191406,0.0
15,44740.71815037727,0.0,0.0,0.0,0.0,0.0025769409849304855,21.630592346191406,21.630592346191406,0.0
16,44740.73416686058,0.0,0.0,0.0,0.0,0.0025769409849304855,21.630592346191406,21.630592346191406,0.0
17,44740.75019073486,0.0,0.0,0.0,0.0,0.0025769409849304855,21.630592346191406,21.630592346191406,0.0
18,44740.76638388634,0.0,0.0,0.0,0.0,0.005038910761634317,21.630592346191406,21.630592346191406,0.0
19,44740.78217434883,0.0,0.0,0.0,0.0,0.005038910761634317,21.630592346191406,21.630592346191406,0.0
20,44740.798166275024,0.0,0.0,0.0,0.0,0.005038910761634317,21.630592346191406,21.630592346191406,0.0
21,44740.81878757477,0.0,0.0,0.0,0.0,0.005038910761634317,21.630592346191406,21.630592346191406,0.0
22,44740.83013033867,0.0,0.0,0.0,0.0,0.0024999999287363796,21.630592346191406,21.630592346191406,0.0
23,44740.84633111954,0.0,0.0,0.0,0.0,0.0024999999287363796,21.630592346191406,21.630592346191406,0.0
24,44740.86214542389,0.0,0.0,0.0,0.0,0.0024999999287363796,21.630592346191406,21.630592346191406,0.0
25,44740.880419015884,0.0,0.0,0.0,0.0,0.0024999999287363796,21.630592346191406,21.630592346191406,0.0
26,44740.89313697815,0.0,0.0,0.0,0.0,0.0006249999821840949,21.630592346191406,21.630592346191406,0.0
27,44740.909170627594,0.0,0.0,0.0,0.0,0.0006249999821840949,21.630592346191406,21.630592346191406,0.0
28,44740.925319194794,0.0,0.0,0.0,0.0,0.0006249999821840949,21.630592346191406,21.630592346191406,0.0
29,44740.941153526306,0.0,0.0,0.0,0.0,0.010077821523268634,21.630592346191406,21.630592346191406,0.0
30,44740.95717763901,0.0,0.0,0.0,0.0,0.010077821523268634,21.630592346191406,21.630592346191406,0.0
31,44740.973148822784,0.0,0.0,0.0,0.0,0.010077821523268634,21.630592346191406,21.630592346191406,0.0
32,44740.99226474762,0.0,0.0,0.0,0.0,0.010077821523268634,21.630592346191406,21.630592346191406,0.0
33,44741.005155563354,0.0,0.0,0.0,0.0,0.0006249999821840949,21.630592346191406,21.630592346191406,0.0
34,44741.02117753029,0.0,0.0,0.0,0.0,0.0006249999821840949,21.630592346191406,21.630592346191406,0.0
35,44741.03714585304,0.0,0.0,0.0,0.0,0.0006249999821840949,21.630592346191406,21.630592346191406,0.0
36,44741.07072901726,0.0,0.0,0.0,0.0,0.0025769409002272215,21.630592346191406,21.630592346191406,0.0
37,44741.07626128197,0.0,0.0,0.0,0.0,0.0025769409002272215,21.630592346191406,21.630592346191406,0.0
38,44741.09221673012,0.0,0.0,0.0,0.0,0.0025769409002272215,21.630592346191406,21.630592346191406,0.0
39,44741.10819172859,0.0,0.0,0.0,0.0,0.0025769409002272215,21.630592346191406,21.630592346191406,0.0
40,44741.12419652939,0.0,0.0,0.0,0.0,0.0006249999821840949,21.630592346191406,21.630592346191406,0.0
41,44741.1401720047,0.0,0.0,0.0,0.0,0.0006249999821840949,21.630592346191406,21.630592346191406,0.0
42,44741.15616059303,0.0,0.0,0.0,0.0,0.0006249999821840949,21.630592346191406,21.630592346191406,0.0
43,44741.189823150635,0.0,0.0,0.0,0.0,0.010077821523268634,21.630592346191406,21.630592346191406,0.0
44,44741.19545292854,0.0,0.0,0.0,0.0,0.010077821523268634,21.630592346191406,21.630592346191406,0.0
45,44741.21116542816,0.0,0.0,0.0,0.0,0.010077821523268634,21.630592346191406,21.630592346191406,0.0
46,44741.227187633514,0.0,0.0,0.0,0.0,0.010077821523268634,21.630592346191406,21.630592346191406,0.0
47,44741.243131160736,0.0,0.0,0.0,0.0,0.0025769409002272215,21.630592346191406,21.630592346191406,0.0
48,44741.25915837288,0.0,0.0,0.0,0.0,0.0025769409002272215,21.630592346191406,21.630592346191406,0.0
